Table 3: Principal Credit Risk Exposures by Geographic Region,,,
September 30 2024,,,
In millions of dollars,North America,International,Total
On-Balance Sheet Exposures,,,
Cash and Due From Banks (Including Segregated Cash and Other Deposits),4639,20627,25266
Deposits With Banks,196979,80849,277828
Federal Funds Sold and Securities Borrowed or Purchased Under Agreements to Resell,154056,131872,285928
Brokerage Receivables,38138,25515,63653
Debt Securities,304092,178625,482718
Loans Held-for-Investment Net of Unearned Income (4),442524,246398,688922
Off-Balance Sheet Exposures,,,
Guarantees (5),,,
Financial Standby Letters of Credit,55269,23827,79096
Performance Guarantees,2306,7808,10114
Securities Lending Indemnifications,90231,17918,108149
Credit Commitments and Lines of Credit,,,
Commercial and Similar Letters of Credit,782,3346,4128
One- to Four-Family Residential Mortgages,599,492,1091
Revolving Open-End Loans Secured by One- to Four-Family Residential Properties,5287,16,5303
Commercial Real Estate Construction and Land Development,11460,1627,13087
Credit Card Lines,625171,57211,682382
Commercial and Other Consumer Loan Commitments,228182,109562,337744
