Field No.,Field Name,Technical Field Name,MDRM,Description,Allowable Values
1,Customer ID,CustomerID,CLCOM047,"Report the unique internal identifier for the customer relationship under which the obligor's exposure is aggregated in the reporting entity's credit systems. Customer ID is a relationship concept under which multiple borrowers are aggregated because they have related risks, including but not limited to parent/subsidiary relationships. For stand-alone or ultimate parent obligors, the Customer ID may be the same as the unique internal identifier for the obligor provided in Field 2.","Must not contain a carriage return, line feed, comma or any unprintable character."
2,Internal ID,InternalObligorID,CLCOM300,"Report the reporting entity's unique internal identifier for the obligor. Internal ID is a borrower concept that identifies the entity under which multiple loans are aggregated.","Must not contain a carriage return, line feed, comma or any unprintable character."
3,Original Internal ID,OriginalInternalObligorID,CLCOG064,"Report the internal identification code assigned to the obligor in the previous submission. If there is no change from the prior submission, or if this is the first submission, the Internal ID reported in Field 2 should be used as the Original Internal ID.","Must not contain a carriage return, line feed, comma or any unprintable character."
4,Obligor Name,ObligorName,CLCO9017,"Report the obligor name on the credit facility. Full legal corporate name is desirable. If the borrowing entity is an individual(s) (Natural Person(s)), do not report the name; instead substitute with the text: 'Individual.' For fronting exposures, report legal name of the participant lender.","Must not contain a carriage return, line feed, comma or any unprintable character."
5,City,City,CLCO9130,"Report the name of the city in which the obligor is domiciled (as defined in the FR Y-9C Glossary entry for 'domicile').","Free text indicating the City where the Obligor is domiciled."
6,Country,Country,CLCO9031,"Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for 'domicile').",Use the 2 letter Country Code (ISO 3166)
7,Zip Code,ZipCodeForeignMailingCode,CLCO9220,"Report the five-digit zip code for locations within the 50 US states, Washington DC, Puerto Rico, the US Virgin Islands, Guam, Palau, Micronesia, the Northern Marianas, or the Marshall Islands. For all other locations report the foreign mailing code for the domicile of the obligor.","Five-digit ZIP code (with leading zeroes) for US locations; country-specific postal code for international."
8,Industry Code,IndustryCode,CLCO4537,"Report the numeric code that describes the primary business activity of the obligor according to the North American Industry Classification System (NAICS). If the NAICS code is not available, provide either the Standard Industrial Classification (SIC), or Global Industry Classification Standard (GICS). If the obligor is an individual, the industry code should be consistent with the industry in which the commercial purpose of the loan operates. If multiple industries, report the predominant industry.","Report 4 to 6 digit number. If not available, provide a SIC or GICS industry code."
9,Industry Code Type,IndustryCodeType,CLCOM297,Select the type of industry code identification scheme used in Field 8.,"1. NAICS; 2. SIC; 3. GICS"
10,Obligor Internal Risk Rating,InternalRating,CLCOG080,"Report the obligor rating grade from the reporting entity's internal risk rating system. For fronting exposures, report the participant lender's rating grade. This is the reporting entity's probability of default (PD) rating. If the reporting entity uses a one-dimensional risk rating system, record that rating here.","Free text indicating the obligor rating grade. Must be consistent with Schedule H.4 (Internal Risk Rating Schedule), Field 1."
11,TIN,TIN,CLCO6191,"Report the Taxpayer Identification Number (TIN) assigned to the obligor by the U.S. Internal Revenue Service (IRS). If the borrowing entity is an individual(s) (Natural Person(s)), do not report Social Security Number; instead enter 'NA'. If the borrowing entity does not have a TIN, enter 'NA'.","The 9 digit identification (##-####### or #########) or 'NA'."
12,Stock Exchange,StockExchange,CLCO4534,"Report the name of the Stock Exchange on which the primary stock of the obligor, or its parent, trades. If not publicly traded, enter 'NA'. If the subsidiary is publicly traded, report the subsidiary's exchange regardless of ownership. If not publicly traded but parent is, report parent's exchange.",Free text
13,Ticker Symbol,TKR,CLCO4539,"Report the Stock Symbol for stocks listed and traded on the regulated exchange provided in Field 12. For subsidiaries of public companies, use parent ticker symbol. If not publicly traded, enter 'NA'. If subsidiary is publicly traded, report subsidiary's ticker. If not but parent is, report parent's ticker.",Free text
14,CUSIP,CUSIP,CLCO9161,"Report the CUSIP of the obligor, if available. CUSIPs are identifiers created and delivered by the CUSIP Service Bureau (CSB), managed on behalf of the American Bankers Association by Standard & Poor's. Report the first six characters (CUSIP-6) which uniquely identify the issuer. If a CUSIP does not apply, enter 'NA'.",Must be valid 6 digit CUSIP number issued by the CUSIP Service Bureau.
15,Internal Credit Facility ID,InternalCreditFacilityID,CLCOM142,"Report the reporting entity's unique internal identifier for this credit facility record. It must identify the credit facility for its entire life and must be unique. If the internal facility ID changes (e.g., loan converted to new system), also provide Original Internal credit facility ID in Field 16. For fronting exposures, report the unique internal identifier assigned to the participant lender's fronting allocation.","Must be unique within a submission and over time. May not contain carriage return, line feed, comma or any unprintable character."
16,Original Internal Credit Facility ID,OriginalInternalCreditFacilityID,CLCOM296,"Report the Internal identification code assigned to the credit facility record in the previous submission. If the credit facility represents the fulfillment of a commitment to commit or a syndicated pipeline loan reported in the previous submission, report the credit facility ID used for that formerly reported exposure. If no change from prior submission or first submission, use Field 15 value. For disposed credit facilities where reason is rebookings/restructures, report the ID separated by comma.","May not contain carriage return, line feed, or any unprintable character. For restructured facilities, provide IDs separated by comma."
17,DO NOT USE,,,,
18,Origination Date,OriginationDate,CLCO9912,"Report the origination date. The origination date is the contractual date of the credit agreement (in most cases the date the commitment to lend becomes legally binding). If there has been a major modification such that the obligor executes a new or amended and restated credit agreement, use the revised contractual date. Events not considered major modifications: (1) extension options at borrower's discretion; (2) covenants; (3) waivers; (4) change in maturity date; (5) repricing; (6) periodic credit reviews. Exclude renewals meeting the definition in Field 91. For syndicated pipeline loans, report the date terms were extended to borrower in the signed commitment letter (option 1 in Field 100); update once closed and settled (option 4). For non-syndicated commitments to commit, report the date terms were extended.","Must be in yyyy-mm-dd format. Must be before or equal to the period end date."
19,Maturity Date,MaturityDate,CLCO9914,"Report the maturity date. The maturity date is the last date upon which the funds must be repaid, inclusive of extension options solely at the borrower's discretion, and according to the most recent terms of the credit agreement. If extension options are conditional on certain terms, such extensions should be considered at the borrower's sole discretion. For demand loan, enter '9999-01-01'. For syndicated pipeline loans, report estimated maturity date based on tenor in commitment letter. For non-syndicated commitments to commit, report estimated maturity date based on tenor in terms extended.",Must be in yyyy-mm-dd format.
20,Credit Facility Type,FacilityType,CLCOG072,"Report the credit facility type. If the Credit facility type is 'Other,' provide description in Field 21.","0=OTHER; 1=REVOLVING CREDIT; 2=REVOLVING CREDIT CONVERTING TO TERM LOAN; 3=REVOLVING CREDIT-ASSET BASED; 4=REVOLVING CREDIT-DIP; 5=NON-REVOLVING LINE OF CREDIT; 6=NON-REVOLVING LINE OF CREDIT CONVERTING TO TERM LOAN; 7=TERM LOAN; 8=TERM LOAN-A; 9=TERM LOAN-B; 10=TERM LOAN-C; 11=TERM LOAN-BRIDGE; 12=TERM LOAN-ASSET BASED; 13=TERM LOAN-DIP; 14=CAPITALIZED LEASE OBLIGATION; 15=STANDBY LETTER OF CREDIT; 16=OTHER REAL ESTATE OWNED; 17=OTHER ASSET; 18=FRONTING EXPOSURE; 19=COMMITMENT TO COMMIT"
21,Other Credit Facility Type Description,OtherFacilityType,CLCOG107,"If the credit facility is listed as 'Other' in Field 20, provide a description. Leave blank if Field 20 is not zero.",Free Text
22,Credit Facility Purpose,CreditFacilityPurpose,CLCOG073,"Report the credit facility purpose. If the credit facility purpose is 'Other,' provide description in Field 23. For fronting exposures, report the purpose based on the primary credit facility.","0=OTHER; 1=ACQUISITION AND/OR MERGER FINANCING; 2=ASSET SECURITIZATION FINANCING; 3=CAPITAL EXPENDITURES EXCLUDING REAL ESTATE; 4=COMMERCIAL PAPER BACK-UP; 5=INDUSTRIAL REVENUE BOND BACK-UP; 6=MORTGAGE WAREHOUSING; 7=TRADE FINANCING; 8=PERFORMANCE GUARANTEE; 9=WORKING CAPITAL-SHORT TERM/SEASONAL; 10=WORKING CAPITAL-PERMANENT; 11=GENERAL CORPORATE PURPOSES; 12=DEBT REFINANCE/CONSOLIDATION; 13=ESOP FINANCING; 14=AGRICULTURE AND/OR LIVESTOCK PRODUCTION; 15=AGRICULTURE AND/OR RANCHING REAL ESTATE; 16=STOCK BUYBACK; 17=PORTFOLIO ACQUISITION INCLUDING NOTE PURCHASE AGREEMENTS; 18=RE ADC-LAND; 19=RE ADC-RESIDENTIAL; 20=RE ADC-COMML & INDL; 21=RE INVESTMENT/PERMANENT-RESIDENTIAL; 22=RE INVESTMENT/PERMANENT-COMMERCIAL AND INDUSTRIAL; 23=BUSINESS RECAPITALIZATION/DIVIDENDS; 24=NEW PRODUCT DEVELOPMENT; 25=PROJECT FINANCING; 26=DEALER FLOORPLAN; 27=EQUIPMENT LEASING; 28=NON-PURPOSE LOAN COLLATERALIZED BY SECURITIES; 29=BRIDGE FINANCING; 30=CAPITAL CALL SUBSCRIPTION; 31-33=DO NOT USE"
23,Other Credit Facility Purpose Description,OtherFacilityPurpose,CLCOG108,"If the credit facility purpose is listed as 'Other' in Field 22, provide a description. Leave blank if Field 22 is not zero.",Free Text
24,Committed Exposure Global,CommittedExposure,CLCOG074,"Report the total commitment amount as the sum of loan and lease financing receivables recorded in FR Y-9C Schedule HC-C (reported in Field 25) and any unused portion of the commitment recorded in Schedules HC-F, HC-G, and HC-L. Report total commitment amount not constrained amount. For facilities with multiple lenders, only provide reporting entity's pro-rata commitment. For syndicated pipeline loans (options 1-3 in Field 100), report total commitment amount from commitment letter. For non-syndicated commitments to commit, report total commitment amount offered.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
25,Utilized Exposure Global,UtilizedExposure,CLCOG075,"Report all loan and lease financing receivables consistent with FR Y-9C instructions. Report amortized cost for HFI loans; lower of cost or fair value for HFS loans. Report at fair value all HFS and HFI loans under fair value option. For facilities with multiple lenders, report pro-rata utilized exposure. For fully undrawn commitments, enter 0. For fronting exposures, report funds advanced on behalf of participant lender. For disposed credit facilities, report 0.","Rounded whole dollar amount with no cents (e.g. 20000000). No dollar sign, commas, or decimal."
26,Line Reported on FR Y-9C,LineReportedOnFRY9C,CLCOK449,"Report the integer code corresponding to the line number on the FR Y-9C Schedule HC-C in which the outstanding balance is recorded or, in the case of an unused commitment, the line number in which it would be recorded if drawn. If the credit facility includes multiple loans, report the code for the type accounting for the largest share. For fronting exposures, report the code for the line the exposure would be recorded if drawn.","1=Loans to US depository institutions (HC-C 2.a); 2=Loans to foreign banks (HC-C 2.b); 3=Agricultural production loans (HC-C 3); 4=C&I loans to US addresses (HC-C 4.a); 5=C&I loans to non-US addresses (HC-C 4.b); 6=Loans to foreign governments (HC-C 7); 7=Loans to nondepository financial institutions (HC-C 9.a); 8=All other loans excl consumer (HC-C 9.b(2)); 9=All other leases excl consumer (HC-C 10.b); 10=Owner-occupied nonfarm nonresidential domestic (HC-C 1.e(1)); 11=Owner-occupied nonfarm nonresidential non-domestic (HC-C item 1)"
27,Line of Business,LineOfBusiness,CLCOK458,Provide the name of the internal line of business.,"Free text (e.g. Private Banking, Corporate Banking, Asset-Based Lending). Must be consistent with Schedule H.3 (Line of Business Schedule), Field 1."
