Table: Disclosure Map
Pillar 3 Requirement,Description,Pillar 3 Report page reference,1Q24 Form 10-Q page reference,2023 Form 10-K page reference
Capital structure,Components of capital,5,40,"168, 169, 278, 280, 282"
,Terms and conditions of capital instruments,5,,"278, 280, 282"
Capital adequacy,Risk-weighted assets by risk stripe,6,,98
,Capital requirements,6,39,94
,Capital adequacy assessment process,7,42,"91, 92"
,Regulatory capital metrics,7,160,"96, 290"
"Credit risk: general disclosures",Policies and practices,9,52,"111, 201, 227, 235, 291"
,Credit risk exposures,10,"53, 77","111, 144"
,Retail - Distribution of exposure,11,"54, 129, 130, 163","114, 240, 246, 292"
,Retail - Allowance for Credit Losses,10,"131, 142","241, 242, 258"
,Wholesale - Distribution of exposure,13,"58, 121, 137, 163","120, 227, 249, 292"
,Wholesale - Allowance for Credit Losses,10,"140, 142","252, 258"
Credit risk: IRB,Parameter estimation methods,"11, 13",,
,RWA,"11, 13",,
Counterparty credit,Parameter estimation methods,14,,
,Policies and practices,9,,"201, 232, 297"
,Counterparty credit risk exposure,14,,"114, 120, 203, 232"
,Credit derivatives purchased and sold,10,66,"128, 129, 130, 213"
Credit risk mitigation,Policies and practices,10,,"203, 235, 297"
,Exposure covered by guarantees and CDS,"13, 14",,
Securitization,"Objectives, vehicles, accounting policies",15,"18, 144","58, 66, 175, 203, 261"
,Securitization RWA,16,,
,Securitization exposure,17,,
,Assets securitized,17,,
,Current year securitization activity,18,,
"Equity risk not subject to the market risk capital rules",Policies and practices,19,76,"134, 171, 175, 180, 221, 227"
,Carrying value and fair value,19,"91, 121",
,Realized and unrealized gains/(losses),19,,
,Equity investments by risk weight,19,,
Market risk,Material portfolio of covered positions,20,,
,Value-at-risk,20,72,137
,Regulatory market risk capital models,21,,
,Stress testing,24,,140
Operational risk,Operational risk description,25,,147
"Interest rate risk for traditional banking activities","Interest rate risk for traditional banking activities",26,74,140
"Supplementary leverage ratio (SLR)",Overview of SLR,"8, 27","39, 41",98
,Components of SLR,27,,
