Schedule R - Equity Exposures,,,,,,,
,Simple Risk Weight Approach,,Full Internal Models Approach,,Publicly Traded Internal Models Approach,,
Item,Col A: Exposure,Col B: RWA,Col C: Exposure,Col D: RWA,Col E: Exposure,Col F: RWA,Line
Total equity exposures,AARA J053,,AARC J053,,AARE J053,,1
"0% risk weight",AARA J054,AARB J054,AARC J054,AARD J054,AARE J054,AARF J054,2
"20% risk weight",AARA J055,AARB J055,AARC J055,AARD J055,AARE J055,AARF J055,3
"Community development equity exposures (100%)",AARA J056,AARB J056,AARC J056,AARD J056,AARE J056,AARF J056,4
"SRWA: Effective portion of hedge pairs (100%)",AARA J057,AARB J057,,,,,5
"SRWA: Non-significant equity exposures (100%)",AARA J058,AARB J058,,,,,6
"SRWA: Significant investments in unconsolidated FIs (250%)",AARA P970,AARB P970,,,,,7
"SRWA: Publicly traded equity exposures (300%)",AARA J059,AARB J059,,,,,8
"SRWA: Non-publicly traded equity exposures (400%)",AARA J060,AARB J060,,,AARE J060,AARF J060,9
"SRWA: 600% risk-weight equity exposures",AARA J061,AARB J061,,,AARE J061,AARF J061,10
"Total RWA under the SRWA (sum col B lines 2-10)",,AARB J062,,,,,11
"Full look-through approach",AARA J063,AARB J063,AARC J063,AARD J063,AARE J063,AARF J063,12
"Simple modified look-through approach",AARA J064,AARB J064,AARC J064,AARD J064,AARE J064,AARF J064,13
"Alternative modified look-through approach",AARA J065,AARB J065,AARC J065,AARD J065,AARE J065,AARF J065,14
"Total RWA for investment funds",,AARB J067,,AARD J067,,AARF J067,15
"Total: SRWA (col B lines 11 and 15)",,AARB J068,,,,,16
"Full IMA: Estimate of potential losses (12.5x)",,,AARC J069,AARD J069,,,17
"Full IMA Floors: Publicly traded (200%)",,,AARC J070,AARD J070,,,18
"Full IMA Floors: Non-publicly traded (300%)",,,AARC J071,AARD J071,,,19
"RWA floors (sum col D lines 18-19)",,,,AARD J072,,,20
"Total RWA Full IMA (larger of col D lines 17 and 20)",,,,AARD J073,,,21
"Total: Full IMA (sum col D lines 3,4,15,21)",,,,AARD J074,,,22
"Partial IMA: Estimate of potential losses (12.5x)",,,,,AARE J075,AARF J075,23
"Partial IMA Floors: Publicly traded (200%)",,,,,AARE J076,AARF J076,24
"Total RWA Partial IMA (larger of col F lines 23-24)",,,,,,AARF J077,25
"Total: Partial IMA partial SRWA (sum col F lines 3,4,9,10,15,25)",,,,,,AARF J078,26
