Derivative Instruments (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
Notional Amount,,,,,,
Derivative contracts,44652459000,42175964000,35640785000,42208435000,36802969000
Interest rate contracts,32043979000,31387667000,25726623000,32500557000,28748072000
Foreign exchange contracts,8015638000,6726813000,6273365000,6424837000,5315122000
Equity commodity and other contracts,4592842000,4061484000,3640797000,3283041000,2739775000
Derivatives Position,,,,,,
Futures and forwards,8596529000,7416797000,6459290000,7644570000,5027207000
Written options,6541006000,6945626000,5944147000,7099699000,6735509000
Exchange-traded,1461221000,1404243000,1008075000,1470802000,1556898000
Over-the-counter,5079785000,5541383000,4936072000,5628897000,5178611000
Purchased options,6575963000,7278611000,6207136000,7023151000,7088720000
Exchange-traded,1623746000,2098609000,1474440000,1890406000,2476578000
Over-the-counter,4952217000,5180002000,4732696000,5132745000,4612142000
Swaps,22938961000,20534930000,17030212000,20441015000,17951533000
Held for trading,44336716000,41899928000,35374139000,41952496000,36528661000
Interest rate contracts,31750922000,31128150000,25475347000,32255186000,28483655000
Foreign exchange contracts,7993036000,6710294000,6257995000,6414269000,5305373000
Equity commodity and other contracts,4592758000,4061484000,3640797000,3283041000,2739633000
Non-traded,315743000,276036000,266646000,255939000,274308000
Interest rate contracts,293057000,259517000,251276000,245371000,264417000
Foreign exchange contracts,22602000,16519000,15370000,10568000,9749000
Equity commodity and other contracts,84000,0,0,0,142000
Derivative contracts (excluding futures and FX 14 days or less),60901926000,55068647000,46870417000,49382695000,43405124000
One year or less,52136931000,46324392000,38780469000,41314995000,35258293000
Over 1 year to 5 years,5427088000,5173643000,4730650000,5053462000,5195334000
Over 5 years,3337907000,3570612000,3359298000,3014238000,2951497000
Gross negative fair value (absolute value),381336000,370664000,382455000,410615000,451147000
Gross positive fair value,359008000,359658000,365024000,409468000,464694000
Held for trading,358822000,359345000,364454000,409165000,464277000
Non-traded,186000,313000,570000,303000,417000
Current credit exposure on risk-based capital derivative contracts,58135000,55745000,57595000,56222000,61196000
Credit losses on derivative contracts,0,0,0,125000,61000
Past Due Derivative Instruments Fair Value,,,,,,
30-89 days past due,6000,18000,69000,79000,305000
90+ days past due,62000,0,1000,56000,371000
